"play","value"
"Grischa Prömel","€7.00m"
"Umut Tohumcu","€7.00m"
"Dennis Geiger","€3.00m"
"Finn Ole Becker","€2.50m"
"Robert Skov","€5.00m"
"Tom Bischof","€3.50m"
"Marius Bülter","€2.50m"
"Bambasé Conté","€700k"
"Maximilian Beier","€30.00m"
"Mergim Berisha","€10.00m"
"Wout Weghorst","€6.00m"
"Andrej Kramaric","€5.00m"
"Ihlas Bebou","€4.00m"
"Max Moerstedt","€1.00m"
"Frederik Rönnow","€4.50m"
"Alexander Schwolow","€700k"
"Jakob Busk","€250k"
"Danilho Doekhi","€17.00m"
"Diogo Leite","€15.00m"
"Robin Knoche","€2.50m"
"Kevin Vogt","€2.00m"
"Paul Jaeckel","€2.00m"
"Jérôme Roussillon","€2.50m"
"Josip Juranovic","€7.50m"
"Christopher Trimmel","€600k"
"Lucas Tousart","€7.00m"
"Rani Khedira","€5.00m"
"Alex Král","€5.00m"
"Aïssa Laïdouni","€6.00m"
"András Schäfer","€5.00m"
"Janik Haberer","€3.00m"
"Robin Gosens","€12.00m"
"Brenden Aaronson","€12.00m"
"Yorbe Vertessen","€5.00m"
"Kevin Volland","€4.00m"
"Benedict Hollerbach","€4.00m"
"Mikkel Kaufmann","€2.70m"
"Chris Bedia","€2.50m"
"Robin Zentner","€3.00m"
"Daniel Batz","€350k"
"Lasse Rieß","€200k"
"Sepp van den Berg","€12.00m"
"Andreas Hanche-Olsen","€9.00m"
"Edimilson Fernandes","€3.50m"
"Maxim Leitsch","€1.50m"
"Stefan Bell","€800k"
"Anthony Caci","€7.00m"
"Phillipp Mwene","€1.80m"
"Silvan Widmer","€3.00m"
"Danny da Costa","€1.20m"
"Dominik Kohr","€3.00m"
"Josuha Guilavogui","€700k"
"Leandro Barreiro","€17.00m"
"Nadiem Amiri","€7.00m"
"Tom Krauß","€4.00m"
"Merveille Papela","€1.00m"
"Jae-sung Lee","€2.50m"
"Marco Richter","€2.00m"
"Brajan Gruda","€20.00m"
"David Mamutovic","€300k"
"Jonathan Burkardt","€12.00m"
"Nelson Weiper","€5.00m"
"Ludovic Ajorque","€3.00m"
"Karim Onisiwo","€1.50m"
"Jessic Ngankam","€1.50m"
"Finn Dahmen","€5.00m"
"Tomas Koubek","€800k"
"Marcel Lubik","€250k"
"Felix Uduokhai","€7.00m"
"Maximilian Bauer","€3.00m"
"Patric Pfeiffer","€2.00m"
"Jeffrey Gouweleeuw","€2.00m"
"Reece Oxford","€1.50m"
"Iago","€4.00m"
"Mads Pedersen","€2.50m"
"Kevin Mbabu","€4.00m"
"Robert Gumny","€2.00m"
"Raphael Framberger","€600k"
"Kristijan Jakic","€6.50m"
"Niklas Dorsch","€4.00m"
"Tim Breithaupt","€3.00m"
"Arne Engels","€9.00m"
"Arne Maier","€5.00m"
"Elvis Rexhbecaj","€3.50m"
"Fredrik Jensen","€3.50m"
"Pep Biel","€3.00m"
"Mert Kömür","€2.00m"
"Rubén Vargas","€7.50m"
"Ermedin Demirovic","€28.00m"
"Phillip Tietz","€5.00m"
"Dion Beljo","€4.00m"
"Sven Michel","€700k"
"Michael Zetterer","€3.00m"
"Jiri Pavlenka","€1.50m"
"Dudu","€200k"
"Marco Friedl","€7.50m"
"Niklas Stark","€5.50m"
"Milos Veljkovic","€4.50m"
"Amos Pieper","€4.00m"
"Julián Malatini","€2.50m"
"Anthony Jung","€1.00m"
"Mitchell Weiser","€6.00m"
"Felix Agu","€4.00m"
"Senne Lynen","€7.00m"
"Christian Groß","€300k"
"Jens Stage","€7.50m"
"Skelly Alvero","€4.00m"
"Naby Keïta","€2.00m"
"Olivier Deman","€5.00m"
"Leon Opitz","€600k"
"Romano Schmid","€10.00m"
"Leonardo Bittencourt","€2.50m"
"Isak Hansen-Aarøen","€1.50m"
"Justin Njinmah","€9.00m"
"Nick Woltemade","€4.00m"
"Marvin Ducksch","€9.00m"
"Dawid Kownacki","€2.00m"
"Marvin Schwäbe","€4.00m"
"Philipp Pentke","€300k"
"Jonas Nickisch","€200k"
"Matthias Köbbing","€100k"
"Jeff Chabot","€9.00m"
"Timo Hübers","€5.50m"
"Luca Kilian","€2.00m"
"Dominique Heintz","€800k"
"Elias Bakatukanda","€250k"
"Max Finkgräfe","€6.00m"
"Leart Paçarada","€1.50m"
"Rasmus Carstensen","€2.00m"
"Benno Schmitz","€1.50m"
"Eric Martel","€7.50m"
"Dejan Ljubicic","€5.00m"
"Jacob Christensen","€1.50m"
"Denis Huseinbasic","€4.00m"
"Florian Kainz","€2.50m"
"Faride Alidou","€2.50m"
"Justin Diehl","€2.50m"
"Jan Thielmann","€5.00m"
"Linton Maina","€3.00m"
"Davie Selke","€2.80m"
"Luca Waldschmidt","€2.50m"
"Damion Downs","€2.00m"
"Steffen Tigges","€1.50m"
"Mark Uth","€1.00m"
"Sargis Adamyan","€600k"
"Florian Dietz","€600k"
"Kevin Müller","€1.00m"
"Vitus Eicher","€250k"
"Frank Feller","€200k"
"Paul Tschernuth","€100k"
"Benedikt Gimber","€2.80m"
"Patrick Mainka","€2.50m"
"Tim Siersleben","€1.50m"
"Thomas Keller","€350k"
"Jonas Föhrenbach","€2.00m"
"Norman Theuerkauf","€300k"
"Seedy Jarju","€200k"
"Omar Traoré","€2.50m"
"Marnon Busch","€1.20m"
"Lennard Maloney","€5.00m"
"Luka Janes","€200k"
"Jan Schöppner","€3.00m"
"Kevin Sessa","€2.50m"
"Adrian Beck","€1.50m"
"Denis Thomalla","€750k"
"Jan-Niklas Beste","€15.00m"
"Florian Pick","€700k"
"Eren Dinkçi","€12.00m"
"Nikola Dovedan","€800k"
"Tim Kleindienst","€6.00m"
"Marvin Pieringer","€3.00m"
"Stefan Schimmer","€500k"
"Christian Kühlwetter","€500k"
"Elidon Qenaj","€100k"
"Manuel Riemann","€600k"
"Niclas Thiede","€350k"
"Andreas Luthe","€300k"
"Michael Esser","€300k"
"Keven Schlotterbeck","€6.00m"
"Bernardo","€5.50m"
"Erhan Masovic","€5.00m"
"Tim Oermann","€4.00m"
"Ivan Ordets","€2.50m"
"Noah Loosli","€800k"
"Mohammed Tolba","€200k"
"Maximilian Wittek","€2.00m"
"Danilo Soares","€700k"
"Moritz Römling","€150k"
"Felix Passlack","€1.80m"
"Cristian Gamboa","€500k"
"Agon Elezi","€800k"
"Anthony Losilla","€500k"
"Patrick Osterhage","€7.00m"
"Matus Bero","€3.50m"
"Kevin Stöger","€5.00m"
"Philipp Förster","€1.80m"
"Lukas Daschner","€1.20m"
"Moritz-Broni Kwarteng","€1.20m"
"Christopher Antwi-Adjei","€1.20m"
"Takuma Asano","€4.00m"
"Moritz Broschinski","€3.00m"
"Philipp Hofmann","€1.80m"
"Gonçalo Paciência","€1.50m"
"Marcel Schuhen","€800k"
"Alexander Brunst","€400k"
"Morten Behrens","€250k"
"Christoph Klarer","€3.00m"
"Matej Maglica","€2.00m"
"Clemens Riedel","€2.00m"
"Christoph Zimmermann","€1.00m"
"Jannik Müller","€800k"
"Thomas Isherwood","€500k"
"Emir Karic","€1.00m"
"Fabian Holland","€500k"
"Matthias Bader","€1.80m"
"Bartol Franjic","€1.80m"
"Andreas Müller","€800k"
"Klaus Gjasula","€400k"
"Fabian Nürnberger","€2.50m"
"Fabian Schnellhardt","€1.00m"
"Tobias Kempe","€500k"
"Marvin Mehlem","€2.50m"
"Julian Justvan","€1.50m"
"Mathias Honsak","€1.20m"
"Gerrit Holtmann","€1.00m"
"Tim Skarke","€3.00m"
"Braydon Manu","€1.20m"
"Oscar Vilhelmsson","€2.00m"
"Fraser Hornby","€1.20m"
"Luca Pfeiffer","€1.20m"
"Aaron Seydel","€500k"
"Sebastian Polter","€500k"
"Fabio Torsiello","€500k"
"Gianluigi Donnarumma","€40.00m"
"Arnau Tenas","€5.00m"
"Keylor Navas","€1.50m"
"Sergio Rico","€1.50m"
"Alexandre Letellier","€250k"
"Marquinhos","€50.00m"
"Lucas Beraldo","€30.00m"
"Milan Skriniar","€30.00m"
"Presnel Kimpembe","€12.00m"
"Nuno Mendes","€55.00m"
"Lucas Hernández","€40.00m"
"Layvin Kurzawa","€1.80m"
"Achraf Hakimi","€60.00m"
"Nordi Mukiele","€10.00m"
"Yoram Zague","€2.50m"
"Manuel Ugarte","€45.00m"
"Danilo Pereira","€8.00m"
"Warren Zaïre-Emery","€60.00m"
"Vitinha","€50.00m"
"Fabián Ruiz","€30.00m"
"Carlos Soler","€20.00m"
"Ethan Mbappé","€1.50m"
"Kang-in Lee","€25.00m"
"Senny Mayulu","€5.00m"
"Bradley Barcola","€50.00m"
"Ousmane Dembélé","€60.00m"
"Marco Asensio","€20.00m"
"Kylian Mbappé","€180.00m"
"Gonçalo Ramos","€50.00m"
"Randal Kolo Muani","€45.00m"
"Radoslaw Majecki","€5.00m"
"Philipp Köhn","€5.00m"
"Yann Lienard","€200k"
"Mohammed Salisu","€15.00m"
"Guillermo Maripán","€10.00m"
"Thilo Kehrer","€10.00m"
"Soungoutou Magassa","€8.00m"
"Caio Henrique","€20.00m"
"Ismail Jakobs","€8.00m"
"Kassoum Ouattara","€8.00m"
"Wilfried Singo","€25.00m"
"Vanderson","€20.00m"
"Denis Zakaria","€25.00m"
"Mohamed Camara","€20.00m"
"Youssouf Fofana","€30.00m"
"Edan Diop","€2.00m"
"Aleksandr Golovin","€30.00m"
"Maghnes Akliouche","€25.00m"
"Eliesse Ben Seghir","€15.00m"
"Takumi Minamino","€20.00m"
"Krépin Diatta","€12.00m"
"Folarin Balogun","€30.00m"
"Breel Embolo","€12.00m"
"Wissam Ben Yedder","€8.00m"
"Lucas Chevalier","€25.00m"
"Vito Mannone","€200k"
"Adam Jakubech","€200k"
"Leny Yoro","€50.00m"
"Alexsandro","€8.00m"
"Samuel Umtiti","€2.50m"
"Rafael Fernandes","€1.50m"
"Gabriel Gudmundsson","€5.00m"
"Ismaily","€1.80m"
"Bafodé Diakité","€18.00m"
"Tiago Santos","€15.00m"
"Nabil Bentaleb","€10.00m"
"Benjamin André","€8.00m"
"Ignacio Miramón","€2.50m"
"Ayyoub Bouaddi","€6.00m"
"Angel Gomes","€25.00m"
"Yusuf Yazıcı","€10.00m"
"Rémy Cabella","€3.50m"
"Hákon Arnar Haraldsson","€9.00m"
"Tiago Morais","€3.00m"
"Ivan Cavaleiro","€2.00m"
"Edon Zhegrova","€25.00m"
"Adam Ounas","€4.00m"
"Jonathan David","€50.00m"
"Andrej Ilic","€3.00m"
"Gauthier Gallon","€1.20m"
"Steve Mandanda","€800k"
"Geoffrey Lembet","€150k"
"Arthur Theate","€20.00m"
"Jeanuël Belocian","€10.00m"
"Alidu Seidu","€9.00m"
"Warmed Omari","€8.00m"
"Christopher Wooh","€6.00m"
"Adrien Truffert","€18.00m"
"Mahamadou Nagida","€500k"
"Guéla Doué","€7.00m"
"Azor Matusiwa","€12.00m"
"Baptiste Santamaria","€10.00m"
"Benjamin Bourigeaud","€18.00m"
"Enzo Le Fée","€18.00m"
"Ludovic Blas","€15.00m"
"Fabian Rieder","€8.00m"
"Désiré Doué","€30.00m"
"Amine Gouiri","€25.00m"
"Martin Terrier","€20.00m"
"Ibrahim Salah","€4.00m"
"Arnaud Kalimuendo","€20.00m"
"Bertuğ Yıldırım","€3.50m"
"Mathis Lambourde","€500k"
"Marcin Bulka","€20.00m"
"Maxime Dupé","€1.50m"
"Teddy Boulhendi","€100k"
"Jean-Clair Todibo","€35.00m"
"Dante","€500k"
"Amidou Doumbouya","€300k"
"Yannis Nahounou","€50k"
"Melvin Bard","€12.00m"
"Romain Perraud","€5.00m"
"Jordan Lotomba","€8.00m"
"Valentin Rosier","€4.00m"
"Antoine Mendy","€800k"
"Youssouf Ndayishimiye","€15.00m"
"Pablo Rosario","€8.00m"
"Alexis Beka Beka","€1.50m"
"Khéphren Thuram","€35.00m"
"Hicham Boudaoui","€9.00m"
"Morgan Sanson","€8.00m"
"Tom Louchet","€3.00m"
"Daouda Traoré","€50k"
"Alexis Claude-Maurice","€3.50m"
"Jérémie Boga","€15.00m"
"Sofiane Diop","€12.00m"
"Mohamed-Ali Cho","€10.00m"
"Aliou Baldé","€800k"
"Terem Moffi","€25.00m"
"Gaëtan Laborde","€10.00m"
"Evann Guessand","€8.00m"
"Lucas Perri","€6.00m"
"Anthony Lopes","€4.00m"
"Justin Bengui Joao","€300k"
"Jake O'Brien","€12.00m"
"Duje Caleta-Car","€7.00m"
"Sinaly Diomandé","€4.00m"
"Adryelson","€4.00m"
"Dejan Lovren","€1.20m"
"Nicolás Tagliafico","€8.00m"
"Henrique Silva","€1.00m"
"Saël Kumbedi","€7.00m"
"Clinton Mata","€4.00m"
"Johann Lepenant","€6.00m"
"Nemanja Matic","€3.00m"
"Paul Akouokou","€1.50m"
"Maxence Caqueret","€20.00m"
"Orel Mangala","€20.00m"
"Corentin Tolisso","€5.00m"
"Mahamadou Diawara","€3.00m"
"Mohamed El Arouch","€1.50m"
"Ainsley Maitland-Niles","€9.00m"
"Malick Fofana","€15.00m"
"Rayan Cherki","€25.00m"
"Saïd Benrahma","€20.00m"
"Ernest Nuamah","€18.00m"
"Gift Orban","€15.00m"
"Alexandre Lacazette","€9.00m"
"Mama Baldé","€4.00m"
"Pau López","€10.00m"
"Rubén Blanco","€2.00m"
"Simon Ngapandouetnbu","€300k"
"Leonardo Balerdi","€20.00m"
"Chancel Mbemba","€15.00m"
"Samuel Gigot","€9.00m"
"Bamo Meïté","€6.00m"
"Quentin Merlin","€10.00m"
"Ulisses Garcia","€4.00m"
"Jonathan Clauss","€12.00m"
"Amir Murillo","€4.00m"
"Geoffrey Kondogbia","€12.00m"
"Pape Gueye","€6.00m"
"Jean Onana","€4.00m"
"Jordan Veretout","€15.00m"
"Azzedine Ounahi","€12.00m"
"Valentin Rongier","€12.00m"
"Bilal Nadir","€500k"
"Emran Soglo","€1.00m"
"Amine Harit","€15.00m"
"Luis Henrique","€8.00m"
"Ismaïla Sarr","€18.00m"
"Joaquín Correa","€6.00m"
"Iliman Ndiaye","€15.00m"
"Faris Moumbagna","€10.00m"
"Pierre-Emerick Aubameyang","€5.00m"
"Brice Samba","€15.00m"
"Jean-Louis Leca","€200k"
"Yannick Pandor","€100k"
"Kevin Danso","€25.00m"
"Facundo Medina","€25.00m"
"Jonathan Gradit","€4.50m"
"Abdukodir Khusanov","€2.50m"
"Deiver Machado","€4.00m"
"Jhoanner Chávez","€2.00m"
"Massadio Haidara","€2.00m"
"Ruben Aguilar","€5.00m"
"Salis Abdul Samed","€8.00m"
"Nampalys Mendy","€3.00m"
"Andy Diouf","€9.00m"
"Neil El Aynaoui","€8.00m"
"Przemyslaw Frankowski","€9.00m"
"Jimmy Cabot","€2.50m"
"David Pereira da Costa","€8.00m"
"Angelo Fulgini","€7.00m"
"Adrien Thomasson","€5.00m"
"Ayanda Sishuba","€500k"
"Nolan Bonte","€50k"
"Morgan Guilavogui","€3.00m"
"Elye Wahi","€35.00m"
"Wesley Saïd","€4.00m"
"Florian Sotoca","€3.00m"
"Ibrahima Baldé","€300k"
"Alaa Bellaarouch","€2.00m"
"Matthieu Dreyer","€150k"
"Alexandre Pierre","€100k"
"Abakar Sylla","€12.00m"
"Ismaël Doukouré","€10.00m"
"Lucas Perrin","€3.00m"
"Saïdou Sow","€2.50m"
"Steven Baseya","€50k"
"Thomas Delaine","€1.00m"
"Frédéric Guilbert","€4.00m"
"Marvin Senaya","€2.00m"
"Karol Fila","€700k"
"Junior Mwanga","€7.00m"
"Ibrahima Sissoko","€6.00m"
"Jean-Eudes Aholou","€800k"
"Andrey Santos","€15.00m"
"Jessy Deminguet","€1.20m"
"Habib Diarra","€18.00m"
"Dilane Bakwa","€10.00m"
"Ângelo","€15.00m"
"Emanuel Emegha","€12.00m"
"Moïse Sahi Dion","€2.00m"
"Lebo Mothiba","€1.50m"
"Kévin Gameiro","€700k"
"Guillaume Restes","€18.00m"
"Álex Domínguez","€300k"
"Thomas Himeur","€50k"
"Justin Lacombe","€50k"
"Logan Costa","€12.00m"
"Christian Mawissa","€9.00m"
"Rasmus Nicolaisen","€6.00m"
"Moussa Diarra","€2.00m"
"Kévin Keben","€500k"
"Gabriel Suazo","€3.50m"
"Mikkel Desler","€3.00m"
"Warren Kamanzi","€2.00m"
"Stijn Spierings","€4.50m"
"Vincent Sierro","€4.00m"
"Cristian Cásseres Jr.","€4.00m"
"Yann Gboho","€4.00m"
"Niklas Schmidt","€3.00m"
"Denis Genreau","€1.50m"
"César Gelabert","€1.50m"
"Naatan Skyttä","€400k"
"Ibrahim Cissoko","€1.50m"
"Zakaria Aboukhlal","€10.00m"
"Aron Dønnum","€3.50m"
"Shavy Babicka","€2.00m"
"Thijs Dallinga","€18.00m"
"Frank Magri","€3.00m"
"Marco Bizot","€4.00m"
"Grégoire Coudert","€400k"
"Yan Marillat","€150k"
"Lilian Brassier","€12.00m"
"Brendan Chardonnet","€8.00m"
"Julien Le Cardinal","€1.50m"
"Bradley Locko","€12.00m"
"Jordan Amavi","€1.20m"
"Antonin Cartillier","€200k"
"Kenny Lala","€3.00m"
"Luck Zogbé","€100k"
"Pierre Lees-Melou","€10.00m"
"Jonas Martin","€1.00m"
"Mahdi Camara","€10.00m"
"Hugo Magnetti","€7.00m"
"Axel Camblan","€500k"
"Kamory Doumbia","€5.00m"
"Jérémy Le Douaron","€5.00m"
"Billal Brahimi","€3.00m"
"Mathias Pereira Lage","€2.50m"
"Adrien Lebeau","€300k"
"Romain Del Castillo","€10.00m"
"Martín Satriano","€7.00m"
"Steve Mounié","€6.00m"
"Yehvann Diouf","€8.00m"
"Alexandre Olliero","€400k"
"Ludovic Butelle","€100k"
"Joseph Okumu","€9.00m"
"Emmanuel Agbadou","€9.00m"
"Yunis Abdelhamid","€600k"
"Sergio Akieme","€7.00m"
"Thibault De Smet","€4.00m"
"Thomas Foket","€6.00m"
"Maxime Busi","€1.50m"
"Thérence Koudou","€800k"
"Valentin Atangana","€1.00m"
"Benjamin Stambouli","€700k"
"Marshall Munetsi","€10.00m"
"Teddy Teuma","€7.00m"
"Amir Richardson","€6.00m"
"Reda Khadra","€3.00m"
"Amadou Koné","€500k"
"Mohamed Daramy","€10.00m"
"Keito Nakamura","€9.00m"
"Mamadou Diakhon","€700k"
"Junya Ito","€8.00m"
"Oumar Diakité","€6.00m"
"Adama Bojang","€500k"
"Yvon Mvogo","€3.00m"
"Alfred Gomis","€1.00m"
"Dominique Youfeigane","€150k"
"Montassar Talbi","€7.00m"
"Isaak Touré","€7.00m"
"Formose Mendy","€4.50m"
"Nathaniel Adjei","€2.50m"
"Julien Laporte","€2.00m"
"Loris Mouyokolo","€300k"
"Benjamin Mendy","€2.00m"
"Darlin Yongwa","€1.50m"
"Gédéon Kalulu","€3.50m"
"Panos Katseris","€2.50m"
"Igor Silva","€1.00m"
"Laurent Abergel","€3.00m"
"Tiemoué Bakayoko","€2.00m"
"Bonke Innocent","€1.00m"
"Imrân Louza","€7.00m"
"Jean-Victor Makengo","€6.00m"
"Ayman Kari","€4.00m"
"Théo Le Bris","€2.00m"
"Julien Ponceau","€3.50m"
"Quentin Boisgard","€700k"
"Badredine Bouanani","€5.00m"
"Eli Junior Kroupi","€15.00m"
"Mohamed Bamba","€6.00m"
"Bamba Dieng","€4.00m"
"Aiyegun Tosin","€3.00m"
"Benjamin Lecomte","€3.50m"
"Dimitry Bertaud","€1.20m"
"Belmin Dizdarevic","€200k"
"Becir Omeragic","€6.00m"
"Kiki Kouyaté","€5.00m"
"Modibo Sagnan","€3.00m"
"Christopher Jullien","€2.50m"
"Issiaga Sylla","€2.50m"
"Théo Sainte-Luce","€1.00m"
"Lucas Mincarelli","€1.00m"
"Falaye Sacko","€4.00m"
"Enzo Tchato","€2.50m"
"Silvan Hefti","€2.50m"
"Joris Chotard","€10.00m"
"Khalil Fayad","€5.00m"
"Jordan Ferri","€4.50m"
"Léo Leroy","€1.00m"
"Téji Savanier","€9.00m"
"Sacha Delaye","€300k"
"Yann Karamoh","€2.50m"
"Wahbi Khazri","€1.80m"
"Arnaud Nordin","€8.00m"
"Mousa Tamari","€8.00m"
"Tanguy Coulibaly","€2.00m"
"Akor Adams","€10.00m"
"Alban Lafont","€9.00m"
"Rémy Descamps","€1.50m"
"Denis Petric","€100k"
"Nathan Zeze","€5.00m"
"Eray Cömert","€4.00m"
"Jean-Kévin Duverne","€3.50m"
"Jean-Charles Castelletto","€3.50m"
"Bastien Meupiyou","€800k"
"Nicolas Pallois","€600k"
"Nicolas Cozza","€3.50m"
"Kelvin Amian","€2.50m"
"Pedro Chirivella","€7.00m"
"Douglas Augusto","€6.00m"
"Samuel Moutoussamy","€3.00m"
"Moussa Sissoko","€1.20m"
"Florent Mollet","€1.80m"
"Moses Simon","€12.00m"
"Stredair Appuah","€500k"
"Marcus Coco","€1.50m"
"Abdoul Kader Bamba","€900k"
"Mostafa Mohamed","€10.00m"
"Matthis Abline","€6.00m"
"Bénie Traoré","€4.00m"
"Ignatius Ganago","€3.00m"
"Tino Kadewere","€2.50m"
"Arthur Desmas","€2.50m"
"Mathieu Gorgelin","€200k"
"Arouna Sangante","€10.00m"
"Étienne Youté Kinkoué","€7.00m"
"Gautier Lloris","€3.00m"
"Yoann Salmier","€1.50m"
"Christopher Operi","€4.00m"
"Cheick Doumbia","€50k"
"Loïc Nego","€900k"
"Oualid El Hajjam","€800k"
"Abdoulaye Touré","€3.00m"
"Aloïs Confais","€250k"
"Daler Kuzyaev","€8.00m"
"Yassine Kechta","€5.00m"
"Oussama Targhalline","€2.50m"
"Rassoul Ndiaye","€2.50m"
"Antoine Joujou","€1.50m"
"André Ayew","€1.00m"
"Josué Casimir","€3.00m"
"Emmanuel Sabbi","€2.50m"
"Samuel Grandsir","€1.50m"
"Mohamed Bayo","€5.00m"
"Andy Logbo","€800k"
"Steve Ngoura","€400k"
"Guillaume Dietsch","€600k"
"Alexandre Oukidja","€500k"
"Marc-Aurèle Caillard","€200k"
"Fali Candé","€2.50m"
"Christophe Hérelle","€1.50m"
"Sadibou Sané","€800k"
"Aboubacar Lô","€300k"
"Ismaël Traoré","€250k"
"Matthieu Udol","€2.50m"
"Kevin Van Den Kerkhof","€3.00m"
"Koffi Kouao","€1.50m"
"Maxime Colin","€900k"
"Danley Jean Jacques","€2.00m"
"Kévin N'Doram","€1.50m"
"Arthur Atta","€1.00m"
"Warren Tchimbembé","€300k"
"Lamine Camara","€10.00m"
"Joseph Nduquidi","€800k"
"Cheikh Sabaly","€2.00m"
"Papa Amadou Diallo","€1.00m"
"Didier Lamkel Zé","€1.00m"
"Maïdine Douane","€200k"
"Ablie Jallow","€2.00m"
"Joel Asoro","€1.50m"
"Malick Mbaye","€500k"
"Georges Mikautadze","€15.00m"
"Benjamin Tetteh","€1.00m"
"Ibou Sané","€300k"
"Mory Diaw","€1.80m"
"Massamba N'Diaye","€500k"
"Théo Borne","€50k"
"Chrislain Matsima","€7.00m"
"Andy Pelmard","€3.50m"
"Maximiliano Caufriez","€2.50m"
"Jérémy Jacquet","€500k"
"Florent Ogier","€300k"
"Neto Borges","€3.00m"
"Yoël Armougom","€300k"
"Cheick Oumar Konaté","€1.50m"
"Mehdi Zeffane","€500k"
"Yohann Magnin","€2.00m"
"Maxime Gonalons","€700k"
"Johan Gastien","€500k"
"Habib Keïta","€1.00m"
"Muhammed Cham","€6.00m"
"Alan Virginius","€3.50m"
"Elbasan Rashani","€1.50m"
"Jérémie Bela","€600k"
"Jim Allevinah","€2.00m"
"Bilal Boutobba","€1.80m"
"Shamar Nicholson","€5.00m"
"Grejohn Kyei","€1.50m"
"Komnen Andric","€1.00m"
"Ederson","€35.00m"
"Stefan Ortega","€9.00m"
"Scott Carson","€200k"
"Rúben Dias","€80.00m"
"Manuel Akanji","€45.00m"
"Nathan Aké","€40.00m"
"John Stones","€38.00m"
"Taylor Harwood-Bellis","€22.00m"
"Josko Gvardiol","€75.00m"
"Sergio Gómez","€10.00m"
"Josh Wilson-Esbrand","€4.00m"
"Rico Lewis","€38.00m"
"Kyle Walker","€13.00m"
"Issa Kaboré","€10.00m"
"Rodri","€120.00m"
"Matheus Nunes","€50.00m"
"Mateo Kovacic","€30.00m"
"James McAtee","€12.00m"
"Bernardo Silva","€70.00m"
"Kevin De Bruyne","€50.00m"
"Jérémy Doku","€65.00m"
"Jack Grealish","€60.00m"
"Phil Foden","€150.00m"
"Oscar Bobb","€25.00m"
"Erling Haaland","€180.00m"
"Julián Álvarez","€90.00m"
"David Raya","€35.00m"
"Aaron Ramsdale","€25.00m"
"Karl Hein","€2.00m"
"Arthur Okonkwo","€1.80m"
"William Saliba","€80.00m"
"Gabriel Magalhães","€70.00m"
"Jurrien Timber","€38.00m"
"Oleksandr Zinchenko","€38.00m"
"Jakub Kiwior","€30.00m"
"Ben White","€55.00m"
"Takehiro Tomiyasu","€35.00m"
"Cédric Soares","€2.00m"
"Declan Rice","€120.00m"
"Thomas Partey","€18.00m"
"Jorginho","€12.00m"
"Mohamed Elneny","€3.50m"
"Albert Sambi Lokonga","€15.00m"
"Martin Ødegaard","€110.00m"
"Kai Havertz","€70.00m"
"Emile Smith Rowe","€22.00m"
"Fábio Vieira","€22.00m"
"Gabriel Martinelli","€70.00m"
"Leandro Trossard","€35.00m"
"Bukayo Saka","€140.00m"
"Reiss Nelson","€15.00m"
"Gabriel Jesus","€65.00m"
"Eddie Nketiah","€30.00m"
"Robert Sánchez","€20.00m"
"Djordje Petrovic","€20.00m"
"Marcus Bettinelli","€1.00m"
"Levi Colwill","€50.00m"
"Axel Disasi","€40.00m"
"Benoît Badiashile","€30.00m"
"Wesley Fofana","€25.00m"
"Trevoh Chalobah","€13.00m"
"Alfie Gilchrist","€5.00m"
"Malang Sarr","€4.00m"
"Thiago Silva","€1.00m"
"Ben Chilwell","€28.00m"
"Marc Cucurella","€25.00m"
"Reece James","€40.00m"
"Malo Gusto","€35.00m"
"Moisés Caicedo","€75.00m"
"Roméo Lavia","€35.00m"
"Lesley Ugochukwu","€25.00m"
"Enzo Fernández","€75.00m"
"Conor Gallagher","€50.00m"
"Carney Chukwuemeka","€15.00m"
"Cesare Casadei","€10.00m"
"Cole Palmer","€80.00m"
"Christopher Nkunku","€65.00m"
"Raheem Sterling","€35.00m"
"Mykhaylo Mudryk","€35.00m"
"Diego Moreira","€3.00m"
"Noni Madueke","€28.00m"
"Nicolas Jackson","€35.00m"
"Armando Broja","€22.00m"
"David Datro Fofana","€12.00m"
"Deivid Washington","€9.00m"
"Alisson","€28.00m"
"Caoimhín Kelleher","€20.00m"
"Adrián","€600k"
"Ibrahima Konaté","€45.00m"
"Virgil van Dijk","€30.00m"
"Joe Gomez","€28.00m"
"Jarell Quansah","€22.00m"
"Joel Matip","€8.00m"
"Nathaniel Phillips","€3.50m"
"Rhys Williams","€1.80m"
"Andrew Robertson","€30.00m"
"Konstantinos Tsimikas","€22.00m"
"Trent Alexander-Arnold","€70.00m"
"Conor Bradley","€15.00m"
"Calvin Ramsay","€4.00m"
"Wataru Endo","€13.00m"
"Stefan Bajcetic","€11.00m"
"Dominik Szoboszlai","€75.00m"
"Alexis Mac Allister","€75.00m"
"Curtis Jones","€35.00m"
"Harvey Elliott","€35.00m"
"Ryan Gravenberch","€35.00m"
"Thiago","€10.00m"
"Bobby Clark","€1.00m"
"Fábio Carvalho","€14.00m"
"Luis Díaz","€75.00m"
"Cody Gakpo","€50.00m"
"Diogo Jota","€50.00m"
"Mohamed Salah","€55.00m"
"Ben Doak","€10.00m"
"Darwin Núñez","€70.00m"
"Guglielmo Vicario","€35.00m"
"Fraser Forster","€1.20m"
"Brandon Austin","€600k"
"Alfie Whiteman","€500k"
"Cristian Romero","€60.00m"
"Micky van de Ven","€55.00m"
"Radu Drăgușin","€25.00m"
