"play","value"
"Pietro Terracciano","€2.50m"
"Tommaso Martinelli","€1.00m"
"Tommaso Vannucchi","€400k"
"Nikola Milenković","€15.00m"
"Lucas Martínez Quarta","€15.00m"
"Luca Ranieri","€8.00m"
"Pietro Comuzzo","€700k"
"Fabiano Parisi","€9.50m"
"Cristiano Biraghi","€3.50m"
"Michael Kayode","€25.00m"
"Dodô","€17.00m"
"Davide Faraoni","€1.50m"
"Arthur Melo","€15.00m"
"Rolando Mandragora","€8.50m"
"Maxime López","€7.50m"
"Gaetano Castrovilli","€7.00m"
"Alfred Duncan","€4.00m"
"Giacomo Bonaventura","€3.00m"
"Gino Infantino","€3.00m"
"Antonín Barák","€4.50m"
"Christian Kouamé","€7.50m"
"Riccardo Sottil","€6.00m"
"Nicolás González","€35.00m"
"Jonathan Ikoné","€10.00m"
"Lucas Beltrán","€16.00m"
"M'Bala Nzola","€7.00m"
"Andrea Belotti","€5.00m"
"Ivan Provedel","€14.00m"
"Christos Mandas","€3.00m"
"Luigi Sepe","€500k"
"Alessio Romagnoli","€15.00m"
"Nicolò Casale","€14.00m"
"Mario Gila","€13.00m"
"Patric","€4.00m"
"Luca Pellegrini","€3.50m"
"Adam Marusic","€5.00m"
"Elseid Hysaj","€2.50m"
"Nicolò Rovella","€18.00m"
"Danilo Cataldi","€5.50m"
"Mattéo Guendouzi","€25.00m"
"Luis Alberto","€11.00m"
"Matías Vecino","€2.50m"
"Manuel Lazzari","€4.00m"
"Daichi Kamada","€18.00m"
"André Anderson","€400k"
"Mattia Zaccagni","€20.00m"
"Saná Fernandes","€800k"
"Gustav Isaksen","€12.00m"
"Felipe Anderson","€8.00m"
"Pedro","€1.00m"
"Diego González","€1.00m"
"Cristiano Lombardi","€100k"
"Taty Castellanos","€15.00m"
"Ciro Immobile","€4.00m"
"Vanja Milinković-Savić","€5.00m"
"Mihai Popa","€800k"
"Luca Gemello","€300k"
"Pietro Passador","€100k"
"Alessandro Buongiorno","€35.00m"
"Perr Schuurs","€25.00m"
"Matteo Lovato","€4.00m"
"Ricardo Rodríguez","€3.50m"
"Saba Sazonov","€2.80m"
"Koffi Djidji","€2.50m"
"Adam Masina","€1.50m"
"Raoul Bellanova","€15.00m"
"Samuele Ricci","€22.00m"
"Adrien Tamèze","€5.00m"
"Ivan Ilić","€18.00m"
"Karol Linetty","€3.50m"
"Gvidas Gineitis","€2.00m"
"Valentino Lazaro","€3.50m"
"Mërgim Vojvoda","€3.00m"
"Nikola Vlašić","€10.00m"
"Uros Kabic","€1.00m"
"Duván Zapata","€8.00m"
"Antonio Sanabria","€7.00m"
"Pietro Pellegri","€3.00m"
"David Okereke","€2.40m"
"Josep Martínez","€8.00m"
"Nicola Leali","€600k"
"Franz Stolz","€200k"
"Simone Calvani","€150k"
"Daniele Sommariva","€100k"
"Koni De Winter","€12.00m"
"Johan Vásquez","€10.00m"
"Alan Matturro","€4.00m"
"Mattia Bani","€2.50m"
"Giorgio Cittadini","€2.40m"
"Alessandro Vogliacco","€2.00m"
"Aarón Martín","€5.00m"
"Ridgeciano Haps","€900k"
"Djed Spence","€8.00m"
"Stefano Sabelli","€1.50m"
"Emil Bohinen","€1.80m"
"Milan Badelj","€800k"
"Morten Frendrup","€15.00m"
"Morten Thorsby","€3.00m"
"Kevin Strootman","€800k"
"Ruslan Malinovskyi","€8.00m"
"Junior Messias","€2.50m"
"Albert Gudmundsson","€30.00m"
"Mateo Retegui","€16.00m"
"Vitinha","€14.00m"
"David Ankeye","€2.00m"
"Caleb Ekuban","€1.50m"
"Michele Di Gregorio","€18.00m"
"Alessandro Sorrentino","€800k"
"Stefano Gori","€500k"
"Andrea Carboni","€4.00m"
"Pablo Marí","€3.50m"
"Armando Izzo","€2.50m"
"Luca Caldirola","€1.30m"
"Davide Bettella","€1.00m"
"Danilo D'Ambrosio","€1.00m"
"Samuele Birindelli","€3.50m"
"Pedro Pereira","€1.50m"
"Giulio Donati","€300k"
"Matteo Pessina","€15.00m"
"Warren Bondo","€6.00m"
"Roberto Gagliardini","€3.00m"
"José Machín","€1.00m"
"Jean-Daniel Akpa Akpro","€1.00m"
"Patrick Ciurria","€4.00m"
"Georgios Kyriakopoulos","€3.50m"
"Andrea Colpani","€18.00m"
"Valentín Carboni","€15.00m"
"Daniel Maldini","€4.50m"
"Samuele Vignato","€3.50m"
"Matija Popovic","€2.00m"
"Alessio Zerbin","€4.00m"
"Gianluca Caprari","€4.00m"
"Lorenzo Colombo","€6.00m"
"Dany Mota","€5.00m"
"Milan Djuric","€1.50m"
"Maduka Okoye","€4.00m"
"Marco Silvestri","€1.00m"
"Daniele Padelli","€150k"
"Nehuén Pérez","€13.00m"
"Jaka Bijol","€10.00m"
"Thomas Kristensen","€4.50m"
"Enzo Ebosse","€2.50m"
"Lautaro Giannetti","€2.50m"
"João Ferreira","€2.00m"
"Christian Kabasele","€1.00m"
"Antonio Tikvić","€700k"
"James Abankwah","€300k"
"Jordan Zemura","€5.00m"
"Hassane Kamara","€4.50m"
"Kingsley Ehizibue","€2.20m"
"Walace","€6.00m"
"Lazar Samardžić","€20.00m"
"Sandi Lovric","€8.00m"
"Martín Payero","€4.50m"
"Oier Zarraga","€2.00m"
"Roberto Pereyra","€2.00m"
"Festy Ebosele","€6.00m"
"David Pejičić","€1.00m"
"Florian Thauvin","€3.00m"
"Lorenzo Lucca","€12.00m"
"Brenner","€7.00m"
"Keinan Davis","€3.00m"
"Isaac Success","€2.50m"
"Gerard Deulofeu","€1.00m"
"Alessio Cragno","€1.50m"
"Andrea Consigli","€800k"
"Gianluca Pegolo","€100k"
"Mattia Viti","€5.00m"
"Marash Kumbulla","€4.50m"
"Martin Erlić","€3.00m"
"Ruan Tressoldi","€2.50m"
"Gian Marco Ferrari","€1.40m"
"Josh Doig","€6.00m"
"Marcus Pedersen","€5.50m"
"Jeremy Toljan","€3.50m"
"Filippo Missori","€1.50m"
"Daniel Boloca","€7.00m"
"Luca Lipani","€4.00m"
"Uroš Račić","€2.50m"
"Matheus Henrique","€8.50m"
"Pedro Obiang","€500k"
"Kristian Thorstvedt","€8.00m"
"Nedim Bajrami","€4.50m"
"Cristian Volpato","€4.50m"
"Armand Laurienté","€10.00m"
"Emil Konradsen Ceide","€2.00m"
"Domenico Berardi","€10.00m"
"Samu Castillejo","€600k"
"Andrea Pinamonti","€15.00m"
"Samuele Mulattieri","€4.00m"
"Grégoire Defrel","€1.00m"
"Stefano Turati","€7.00m"
"Michele Cerofolini","€700k"
"Pierluigi Frattali","€100k"
"Caleb Okoli","€8.00m"
"Ilario Monterisi","€2.80m"
"Kevin Bonifazi","€1.80m"
"Simone Romagnoli","€800k"
"Mateus Lusuardi","€300k"
"Sergio Kalaj","€200k"
"Riccardo Marchizza","€2.50m"
"Emanuele Valeri","€2.30m"
"Anthony Oyono","€2.00m"
"Pol Lirola","€1.80m"
"Enzo Barrenechea","€7.50m"
"Luca Mazzitelli","€4.00m"
"Marco Brescianini","€3.50m"
"Abdou Harroui","€2.70m"
"Nadir Zortea","€3.00m"
"Reinier","€3.50m"
"Luca Garritano","€1.20m"
"Francesco Gelli","€1.00m"
"İsak Vural","€200k"
"Arijon Ibrahimovic","€4.00m"
"Giuseppe Caso","€1.50m"
"Jaime Báez","€900k"
"Giorgi Kvernadze","€800k"
"Soufiane Bidaoui","€200k"
"Matías Soulé","€25.00m"
"Demba Seck","€2.00m"
"Farès Ghedjemis","€600k"
"Walid Cheddira","€6.00m"
"Kaio Jorge","€4.00m"
"Marvin Cuni","€900k"
"Wladimiro Falcone","€5.00m"
"Federico Brancolini","€200k"
"Alexandru Borbei","€150k"
"Jasper Samooja","€75k"
"Marin Pongracic","€7.00m"
"Federico Baschirotto","€6.00m"
"Ahmed Touba","€1.60m"
"Kastriot Dermaku","€250k"
"Patrick Dorgu","€12.00m"
"Antonino Gallo","€4.50m"
"Valentin Gendrey","€7.00m"
"Lorenzo Venuti","€1.20m"
"Ylber Ramadani","€4.00m"
"Alexis Blin","€3.00m"
"Joan González","€4.50m"
"Mohamed Kaba","€3.50m"
"Hamza Rafia","€1.70m"
"Daniel Samek","€1.20m"
"Medon Berisha","€1.00m"
"Rémi Oudin","€3.50m"
"Lameck Banda","€6.00m"
"Nicola Sansone","€1.00m"
"Pontus Almqvist","€3.00m"
"Santiago Pierotti","€2.50m"
"Jeppe Corfitzen","€400k"
"Nikola Krstovic","€6.00m"
"Roberto Piccoli","€4.00m"
"Rareș Burnete","€700k"
"Simone Scuffet","€2.50m"
"Boris Radunović","€1.00m"
"Simone Aresti","€75k"
"Alberto Dossena","€5.00m"
"Adam Obert","€3.50m"
"Mateusz Wieteska","€3.00m"
"Yerry Mina","€3.00m"
"Pantelis Hatzidiakos","€2.50m"
"Tommaso Augello","€2.00m"
"Paulo Azzi","€1.00m"
"Gabriele Zappa","€2.50m"
"Alessandro Di Pardo","€900k"
"Matteo Prati","€10.00m"
"Antoine Makoumbou","€4.50m"
"Ibrahim Sulemana","€4.00m"
"Nahitan Nández","€5.00m"
"Alessandro Deiola","€1.90m"
"Nicolas Viola","€800k"
"Jakub Jankto","€1.20m"
"Gianluca Gaetano","€6.00m"
"Gaetano Oristanio","€4.00m"
"Marco Mancosu","€400k"
"Zito Luvumbo","€7.50m"
"Eldor Shomurodov","€5.00m"
"Andrea Petagna","€3.80m"
"Gianluca Lapadula","€1.50m"
"Leonardo Pavoletti","€800k"
"Lorenzo Montipò","€3.50m"
"Simone Perilli","€200k"
"Mattia Chiesa","€100k"
"Alessandro Berardi","€50k"
"Diego Coppola","€6.00m"
"Giangiacomo Magnani","€3.00m"
"Paweł Dawidowicz","€3.00m"
"Juan Cabal","€3.50m"
"Rúben Vinagre","€2.40m"
"Fabien Centonze","€3.00m"
"Jackson Tchatchoua","€3.00m"
"Reda Belahyane","€500k"
"Charlys","€100k"
"Joselito","€75k"
"Michael Folorunsho","€8.50m"
"Suat Serdar","€5.00m"
"Ondrej Duda","€4.00m"
"Dani Silva","€2.00m"
"Darko Lazović","€1.50m"
"Tomas Suslov","€7.00m"
"Stefan Mitrović","€1.80m"
"Tijjani Noslin","€10.00m"
"Elayis Tavsan","€1.00m"
"Karol Świderski","€5.00m"
"Federico Bonazzoli","€2.50m"
"Thomas Henry","€2.00m"
"Juan Manuel Cruz","€450k"
"Guillermo Ochoa","€1.00m"
"Benoît Costil","€600k"
"Vincenzo Fiorillo","€150k"
"Pasquale Allocca","€100k"
"Lorenzo Pirola","€5.50m"
"Marco Pellegrino","€3.50m"
"Norbert Gyomber","€1.30m"
"Konstantinos Manolas","€1.00m"
"Triantafyllos Pasalidis","€500k"
"Jérôme Boateng","€400k"
"Federico Fazio","€400k"
"Domagoj Bradarić","€5.00m"
"Alessandro Zanoli","€5.00m"
"Junior Sambia","€2.00m"
"Niccolò Pierozzi","€1.80m"
"Mateusz Legowski","€3.00m"
"Lassana Coulibaly","€3.50m"
"Giulio Maggiore","€3.50m"
"Toma Bašić","€2.80m"
"Antonio Candreva","€1.00m"
"Agustín Martegani","€1.80m"
"Grigoris Kastanos","€1.80m"
"Iron Gomis","€900k"
"Andres Sfait","€500k"
"Loum Tchaouna","€8.00m"
"Emanuel Vignato","€1.10m"
"Boulaye Dia","€10.00m"
"Chukwubuikem Ikwuemesi","€1.80m"
"Shon Weissman","€1.70m"
"Simy","€500k"
"Mikael","€300k"
"Elia Caprile","€6.00m"
"Samuele Perisan","€600k"
"Etrit Berisha","€500k"
"Sebastiano Luperto","€3.50m"
"Ardian Ismajli","€3.00m"
"Sebastian Walukiewicz","€2.50m"
"Saba Goglichidze","€300k"
"Lorenzo Tonelli","€200k"
"Giuseppe Pezzella","€2.20m"
"Liberato Cacace","€2.00m"
"Tyronne Ebuehi","€2.00m"
"Bartosz Bereszyński","€1.30m"
"Alberto Grassi","€1.80m"
"Jacopo Fazzini","€6.00m"
"Youssef Maleh","€4.50m"
"Răzvan Marin","€2.70m"
"Szymon Żurkowski","€2.50m"
"Simone Bastoni","€1.50m"
"Luca Belardinelli","€1.00m"
"Viktor Kovalenko","€1.50m"
"Emmanuel Gyasi","€1.80m"
"Matteo Cancellieri","€4.80m"
"Nicolò Cambiaghi","€7.00m"
"M'Baye Niang","€2.50m"
"Stiven Shpendi","€2.00m"
"Alberto Cerri","€1.70m"
"Francesco Caputo","€1.00m"
"Mattia Destro","€500k"
"Manuel Neuer","€4.00m"
"Daniel Peretz","€3.00m"
"Sven Ulreich","€700k"
"Tom Hülsmann","€250k"
